Chrt.fle-chck|fr_corrupt%4&$32@&*  5%^ 1123581321
120
786
5 502 19485
1 19712 19712
5 19972 19972
5 20216 20597
10 21461 21461
10 21672 21672
5 21900 21900
5 22128 22505
10 23349 23349
10 23544 23544
5 23790 23790
10 24039 24039
5 24493 24493
5 24971 24971
3 25232 25232
3 25453 25453
5 25687 25687
10 25913 26276
10 27085 27085
10 27315 27315
5 27540 27540
10 27782 28278
10 29001 29001
10 29247 29247
5 29480 29480
10 29683 30210
10 30921 30921
10 31140 31140
5 31390 31390
10 31611 31611
9 32138 32138
5 32564 32564
5 32847 32847
10 33055 33055
10 33283 33283
10 33508 33508
8 34752 34752
2 34796 34796
10 34956 34956
5 35182 35182
8 35388 35708
2 35474 35733
5 36624 36624
5 36852 36852
10 38550 38550
10 38786 38786
5 39210 39210
5 39451 39451
8 40443 40443
2 40531 40531
10 40715 40715
10 42342 42342
10 42589 42589
5 44186 44186
5 44428 44428
3 46147 46147
3 46355 46355
8 48040 48040
6 48108 48108
10 48301 48301
4 48570 48570
16 48804 48804
24 49878 49878
24 50097 50097
20 50366 50366
24 50606 50606
10 51819 51819
10 52061 52061
10 53722 53722
10 53957 53957
10 55585 55585
10 55817 55817
10 56033 56033
6 56502 56502
10 57503 57503
10 57972 57972
20 58207 58207
20 58454 58454
20 58689 58689
24 58921 58921
24 59139 59139
12 59409 59409
12 59614 59614
10 59853 59853
6 60088 60088
6 60366 60366
6 60592 60592
6 60831 60831
6 61039 61039
2 61313 61313
8 61355 61355
10 61529 61529
5 61780 61780
5 61986 61986
3 62256 62256
3 62443 62443
10 62692 62692
10 62908 62908
6 63148 63148
6 63365 63365
10 63604 63604
12 63882 63882
12 64112 64112
12 64351 64351
12 64597 64597
12 64839 64839
20 65105 65105
20 65323 65323
10 65561 65561
6 65783 65783
6 66027 66027
6 66261 66261
6 66490 66490
6 66726 66726
10 66978 66978
10 67195 67195
6 67440 67440
3 67694 67694
3 67948 67948
3 68172 68172
3 68417 68417
3 68604 68604
10 68856 68856
6 69101 69101
8 69190 69190
10 69353 69353
12 69606 69606
20 69881 69881
24 70339 70339
24 70576 70576
24 70813 70813
24 71049 71049
24 71276 71276
24 71520 71520
24 71760 71760
24 72007 72007
24 72236 72236
24 72448 72448
20 72673 72673
20 72910 72910
20 73147 73147
20 73393 73393
24 73877 73877
16 74117 74117
8 74226 74226
4 74348 74348
8 74626 74626
8 74839 74839
2 75050 75050
8 75306 75306
4 75755 75755
16 75978 75978
8 76075 76075
4 76207 76207
2 76296 76296
2 76531 76531
2 76742 76742
8 76926 76926
4 77158 77158
2 77673 77673
8 77890 77890
4 78013 78013
2 78096 78096
1 78226 78226
2 78358 78358
1 78495 78495
8 78772 78772
4 78897 78897
2 79110 79110
2 79544 79544
8 79794 79794
4 79906 79906
2 79983 79983
1 80113 80113
2 80247 80247
8 80583 80583
4 80780 80780
2 80982 80982
8 81465 81465
16 81666 81666
8 81790 81790
4 81889 81889
2 81986 81986
8 82239 82239
4 82671 82671
8 82878 82878
8 83348 83348
8 83580 83580
4 83677 83677
2 83766 83766
1 83920 83920
8 84202 84202
2 84528 84528
8 84813 84813
4 85256 85256
8 85472 85472
4 85617 85617
2 85729 85729
1 85851 85851
1 86201 86201
2 86420 86420
8 86639 86639
10 87856 87856
10 88077 88077
4 88333 88333
10 88570 88570
10 89802 89802
10 90025 90025
5 91675 91675
5 91890 91890
10 93578 93578
10 93816 93816
10 95506 95506
10 95731 95731
5 97365 97365
5 97578 97578
5 99281 99281
5 99520 99520
3 101173 101173
3 101396 101396
20 103010 103010
20 103263 103263
10 104998 104998
10 105231 105231
20 110644 110644
20 110896 110896
12 111122 111122
16 111365 111365
16 111637 111637
16 111873 111873
16 112102 112102
16 112313 112313
24 112555 112555
24 112775 112775
12 113034 113034
10 113254 113254
10 113493 113493
10 113715 113715
12 113971 113971
2 114070 114070
6 114209 114209
10 114461 114461
10 114683 114683
6 114904 114904
6 115105 115105
3 115384 115384
3 115582 115582
10 115845 115845
10 116075 116075
12 116327 116327
12 116565 116565
24 116838 116838
20 117065 117065
20 117306 117306
24 117548 117548
20 117771 117771
10 118015 118015
6 118270 118270
6 118492 118492
10 118710 118710
6 118941 118941
2 119174 119174
3 119425 119425
3 119689 119689
3 119911 119911
10 120163 120163
10 120378 120378
12 120621 120621
24 120854 120854
24 121106 121106
24 121352 121352
20 121602 121602
20 121794 121794
10 122034 122034
10 122239 122239
6 122486 122486
6 122702 122702
10 122948 122948
10 123174 123174
5 123432 123432
3 123691 123691
3 123928 123928
3 124190 124190
10 124436 124436
12 124680 124680
12 124922 124922
12 125145 125145
24 125368 125368
24 125596 125596
20 125831 125831
20 126051 126051
24 126307 126307
12 126552 126789
8 127018 127018
16 127262 127262
8 127390 127390
4 127503 127503
2 127569 127569
4 127768 127768
8 127994 127994
10 128217 128217
10 128452 128452
8 128923 128923
8 129162 129162
4 129260 129260
2 129341 129341
1 129470 129470
2 129613 129613
8 129912 129912
10 130136 130136
4 130359 130359
8 130814 130814
8 131078 131078
4 131176 131176
2 131248 131248
1 131359 131359
2 131490 131490
8 131745 131745
10 131984 131984
6 132220 132443
8 132747 132747
1 133098 133098
2 133179 133179
4 133284 133284
2 133445 133445
8 133676 133676
12 133880 133880
10 134132 134132
8 134628 134628
8 134870 134870
6 134968 134968
1 135114 135114
2 135277 135277
8 135509 135509
10 135803 135803
6 136038 136280
10 136491 136491
8 136738 136738
4 136836 136836
2 136889 136889
1 136990 136990
2 137129 137129
8 137459 137459
10 137729 137729
12 137961 137961
8 138404 138404
16 138655 138655
8 138769 138769
4 138882 138882
2 138969 138969
4 139126 139126
8 139362 139362
10 139612 139612
12 139841 139841
2 139920 139920
8 140600 140600
24 141070 141070
24 141281 141281
2 141530 141530
8 141726 141726
4 141968 141968
8 142063 142063
6 142166 142166
2 142299 142299
8 142411 142411
2 142508 142508
1 142561 142561
8 142680 142680
1 142770 142770
8 142958 142958
8 143201 143201
8 143442 143442
8 143672 143672
2 143909 143909
8 144009 144009
2 144103 144103
8 144218 144218
2 144327 144327
4 144448 144448
2 144846 144846
2 145104 145104
4 145345 145345
2 145568 145568
8 145777 145777
16 145923 145923
8 146030 146030
4 146189 146189
2 146334 146334
4 146439 146439
2 146571 146571
4 146676 146676
2 146792 146792
2 146940 146940
2 147089 147089
2 147217 147217
6 147369 147369
6 147569 147569
2 147774 147774
4 147869 147869
2 147972 147972
4 148088 148088
2 148185 148185
2 148399 148399
8 148667 148667
8 148870 148870
4 149128 149128
2 149255 149255
4 149402 149402
2 149455 149455
8 149607 149607
16 149741 149741
8 149886 149886
4 150009 150009
8 150128 150128
4 150243 150243
2 150303 150303
2 150476 150476
4 150595 150595
2 150801 150801
4 150930 150930
2 151007 151007
4 151134 151134
2 151237 151237
2 151430 151430
2 151583 151583
2 151736 151736
2 151881 151881
2 152025 152025
2 152169 152169
2 152355 152355
2 152695 152695
4 152844 152844
8 152936 152936
4 153041 153041
2 153137 153137
8 153294 153294
4 153394 153394
2 153502 153502
1 153598 153598
8 153713 153713
4 153771 153771
1 153915 153915
2 154005 154005
4 154173 154173
2 154327 154327
4 154546 154546
4 154821 154821
4 155074 155074
2 155179 155179
4 155313 155313
2 155416 155416
